landmark_id;tag_id
1;23
1;8
1;9
1;3
2;7
2;8
2;14
2;19
3;23
3;6
3;8
3;9
4;3
4;4
4;24
4;8
5;6
5;8
5;10
5;13
6;3
6;4
6;8
6;9
6;23
7;1
7;3
7;4
7;23
8;3
8;4
8;9
8;23
9;8
9;20
9;28
9;29
10;3
10;4
10;8
10;19
11;8
11;9
11;23
12;8
12;9
12;23
12;4
13;3
13;4
13;13
13;23
14;8
14;9
14;23
15;3
15;4
15;25
16;3
16;5
16;13
17;7
17;8
17;23
17;3
18;7
18;8
18;14
18;19
19;8
19;9
19;23
20;3
20;4
20;8
20;9
20;23
21;3
21;4
21;24
22;20
22;22
22;29
22;3
23;8
23;9
23;23
24;1
24;3
24;13
24;10
25;3
25;4
25;25
25;23
26;3
26;4
26;24
27;3
27;4
27;25
28;8
28;9
28;23
29;1
29;20
29;3
30;3
30;5
30;13
31;3
31;4
31;25
31;23
32;8
32;9
32;23
33;9
33;23
33;5
34;6
34;13
34;10
35;3
35;5
35;1
36;8
36;9
36;22
37;1
37;3
37;4
38;26
38;27
38;29
38;14
39;7
39;10
39;16
40;6
40;10
40;13
41;1
41;30
41;3
41;4
42;1
42;4
42;23
43;7
43;8
43;14
44;8
44;9
44;27
45;7
45;14
45;16
46;14
46;27
46;11
47;1
47;14
47;18
48;4
48;8
48;19
49;20
49;22
49;28
50;3
50;5
50;14
50;19
51;3
51;5
51;1
52;3
52;5
52;29
53;3
53;5
53;13
54;3
54;5
54;14
55;3
55;5
55;19
56;3
56;5
56;4
57;3
57;5
57;7
58;3
58;4
58;14
59;7
59;14
59;18
60;7
60;14
60;18
60;20
61;14
61;27
61;28
62;14
62;27
62;19
63;4
63;8
63;19
64;4
64;19
64;8
65;4
65;8
65;19
66;4
66;19
66;8
66;11
67;11
67;29
67;10
68;11
68;29
68;10
69;6
69;10
69;13
70;10
70;11
70;29
71;6
71;10
71;13
72;6
72;10
72;13
73;6
73;13
73;16
74;7
74;8
74;23
75;7
75;8
75;23
76;7
76;8
76;14
77;7
77;14
77;18
78;14
78;18
78;20
79;7
79;14
79;18
80;7
80;14
80;18
81;14
81;18
81;20
82;7
82;14
82;18
83;7
83;14
83;18
84;14
84;18
84;20
85;14
85;18
86;14
86;18
87;14
87;18
87;1
88;14
88;18
88;27
89;14
89;18
89;27
90;14
90;27
90;19
91;4
91;19
91;28
92;27
92;14
92;19
93;20
93;28
93;27
94;20
94;27
94;19
95;8
95;20
95;19
96;4
96;20
96;28
97;3
97;4
97;25
98;3
98;4
98;25
99;3
99;4
99;25
100;3
100;4
100;8
100;22
101;3
101;4
101;25
102;3
102;4
102;25
103;3
103;5
103;25
104;3
104;5
104;14
105;3
105;4
105;5
106;2
106;4
106;14
107;2
107;4
107;14
108;3
108;4
108;14
109;1
109;4
109;24
110;1
110;3
110;23
111;1
111;3
111;4
111;23
112;1
112;3
112;14
112;23
113;1
113;3
113;14
114;1
114;3
114;4
115;1
115;4
115;5
116;1
116;3
116;5
117;1
117;3
117;5
118;1
118;3
118;4
118;29
119;1
119;3
119;5
119;29
120;1
120;4
120;19
120;8
121;20
121;27
121;28
121;4
122;26
122;27
122;29
122;19
123;26
123;27
123;19
124;26
124;27
124;11
125;26
125;27
125;19
126;27
126;28
126;4
127;27
127;28
127;4
128;27
128;28
128;4
129;27
129;28
129;4
130;27
130;28
130;4
131;27
131;28
131;4
132;27
132;28
132;4
133;27
133;28
133;4
134;27
134;28
134;4
135;27
135;28
135;4
136;27
136;28
136;4
137;27
137;28
137;4
138;27
138;28
138;4
139;27
139;28
139;4
140;27
140;28
140;4
141;27
141;28
141;4
142;27
142;28
142;4
143;27
143;28
143;4
144;27
144;28
144;4
